ID-Vehiculo,Tipo Vehiculo,Distancia Recorrida,Duracion Recorrida,Carga Total,Costo Distancia,Costo Duracion,Costo Mantenimiento,Costo Carga,Costo Fuel,Costo Recharge,Costo Total
0,Gas Car,1.50540000000387,3.7766666666743385,10.000000000002892,7527.00000001935,1888.3333333371693,30000.0,1000.0000000002892,2408.640000006192,752.7000000019351,43576.67333336494
1,Gas Car,0.8947999999881591,2.598333333304536,9.99999999998591,4473.9999999407955,1299.1666666522683,30000.0,999.9999999985909,1431.6799999810546,447.39999999407956,38652.24666656679
2,EV,44.958800000021064,78.5866666667167,87.00000000003249,179835.20000008427,39293.33333335833,21000.0,8700.000000003249,0.0,0.0,248828.53333344584
3,EV,45.976399999969885,74.04166666660751,71.99999999993726,183905.59999987955,37020.833333303766,21000.0,7199.999999993725,0.0,0.0,249126.43333317703
4,Gas Car,5.870200000007386,11.44666666668253,14.0000000000039,29351.000000036925,5723.333333341266,30000.0,1400.0000000003902,9392.320000011816,2935.1000000036925,78801.75333339408
5,EV,28.56990000000653,45.15000000001722,39.000000000037296,114279.60000002611,22575.000000008615,21000.0,3900.0000000037294,0.0,0.0,161754.60000003845
